DATE,CPIAUCSL
1947-01-01,22.3316666666667
1948-01-01,24.045
1949-01-01,23.8091666666667
1950-01-01,24.0625
1951-01-01,25.9733333333333
1952-01-01,26.5666666666667
1953-01-01,26.7683333333333
1954-01-01,26.865
1955-01-01,26.7958333333333
1956-01-01,27.1908333333333
1957-01-01,28.1133333333333
1958-01-01,28.8808333333333
1959-01-01,29.15
1960-01-01,29.585
1961-01-01,29.9016666666667
1962-01-01,30.2533333333333
1963-01-01,30.6333333333333
1964-01-01,31.0383333333333
1965-01-01,31.5283333333333
1966-01-01,32.4708333333333
1967-01-01,33.375
1968-01-01,34.7916666666667
1969-01-01,36.6833333333333
1970-01-01,38.8416666666667
1971-01-01,40.4833333333333
1972-01-01,41.8083333333333
1973-01-01,44.425
1974-01-01,49.3166666666667
1975-01-01,53.825
1976-01-01,56.9333333333333
1977-01-01,60.6166666666667
1978-01-01,65.2416666666667
1979-01-01,72.5833333333333
1980-01-01,82.3833333333333
1981-01-01,90.9333333333333
1982-01-01,96.5333333333333
1983-01-01,99.5833333333333
1984-01-01,103.933333333333
1985-01-01,107.6
1986-01-01,109.691666666667
1987-01-01,113.616666666667
1988-01-01,118.275
1989-01-01,123.941666666667
1990-01-01,130.658333333333
1991-01-01,136.166666666667
1992-01-01,140.308333333333
1993-01-01,144.475
1994-01-01,148.225
1995-01-01,152.383333333333
1996-01-01,156.858333333333
1997-01-01,160.525
1998-01-01,163.008333333333
1999-01-01,166.583333333333
2000-01-01,172.191666666667
2001-01-01,177.041666666667
2002-01-01,179.866666666667
2003-01-01,184
2004-01-01,188.908333333333
2005-01-01,195.266666666667
2006-01-01,201.558333333333
2007-01-01,207.344166666667
2008-01-01,215.25425
2009-01-01,214.564666666667
2010-01-01,218.076166666667
2011-01-01,224.923
2012-01-01,229.586083333333
2013-01-01,232.95175
2014-01-01,236.715
2015-01-01,237.00175
2016-01-01,240.005416666667
2017-01-01,245.121
2018-01-01,251.098916666667
