fipsstat,state,year,vio,prop,murder,rape,assault,rob,auto,burg,larc,rpcpi,rpcim,rpcui,area,density,shalll,aftr,yr70,yr71,yr72,yr73,yr74,yr75,yr76,yr77,yr78,yr79,yr80,yr81,yr82,yr83,yr84,yr85,yr86,yr87,yr88,yr89,yr90,yr91,yr92,yr93,yr94,yr95,yr96,yr97,yr98,yr99,yr00,yr01,yr02,yr03,yr04,yr05,yr06,yr07,AK,AL,AZ,AR,CA,CO,CT,DE,FL,GA,DC,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,trnd,trndAK,trndAL,trndAZ,trndAR,trndCA,trndCO,trndCT,trndDC,trndDE,trndFL,trndGA,trndHI,trndIA,trndID,trndIL,trndIN,trndKS,trndKY,trndLA,trndMA,trndMD,trndME,trndMI,trndMN,trndMO,trndMS,trndMT,trndNC,trndND,trndNE,trndNH,trndNJ,trndNM,trndNV,trndNY,trndOH,trndOK,trndOR,trndPA,trndRI,trndSC,trndSD,trndTN,trndTX,trndUT,trndVA,trndVT,trndWA,trndWI,trndWV,trndWY,incarc_rate,unemp,stnumber,pop_b,ppb,prison_pop,prison_rate,prison_1,rpcrpo,crack,povrate,police,policerate,lpolicerate,ppx1019,ppx2029,ppx3039,ppx4049,ppx5064,ppx65o,vioarr,proparr,aovio,aopro,murarr,raparr,robarr,agaarr,burarr,lararr,autarr,aomur,aorap,aorob,aoaga,aobur,aolar,aoaut,popwm1019,popwm2029,popwm3039,popwm4049,popwm5064,popwm65o,popwf1019,popwf2029,popwf3039,popwf4049,popwf5064,popwf65o,popbm1019,popbm2029,popbm3039,popbm4049,popbm5064,popbm65o,popbf1019,popbf2029,popbf3039,popbf4049,popbf5064,popbf65o,popnm1019,popnm2029,popnm3039,popnm4049,popnm5064,popnm65o,popnf1019,popnf2029,popnf3039,popnf4049,popnf5064,popnf65o,popstate,ppwm1019,ppbm1019,ppnm1019,ppwf1019,ppbf1019,ppnf1019,ppwm2029,ppbm2029,ppnm2029,ppwf2029,ppbf2029,ppnf2029,ppwm3039,ppbm3039,ppnm3039,ppwf3039,ppbf3039,ppnf3039,ppwm4049,ppbm4049,ppnm4049,ppwf4049,ppbf4049,ppnf4049,ppwm5064,ppbm5064,ppnm5064,ppwf5064,ppbf5064,ppnf5064,ppwm65o,ppbm65o,ppnm65o,ppwf65o,ppbf65o,ppnf65o,lmur_1,lrap_1,laga_1,lrob_1,laut_1,lbur_1,llar_1,ratmur,ratrap,rataga,ratrob,rataut,ratbur,ratlar,lmur,lrap,laga,lrob,laut,lbur,llar,lnlpolicerate,lincarc_rate,lrpcim,lrpcui,lrpcrpo,lrpcpi,laovio,laopro,ratrap2,lrap2,ratvio,ratpro,lvio,lpro,mur_1,rap_1,aga_1,rob_1,aut_1,bur_1,lar_1,g_assault,ratgaga,lgaga,domvio
1,Alabama,1970,10185,75214,404,637,7413,1731,7696,26739,40779,782.06738,12.43056,2.9092801,50708,68.126472,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,904294,.20249149,,,,68.764801,,,,,,.2074478,.14377239,.1092986,.1129742,.1446023,.094235301,,,,,,,,,,,,,,,,,,,248591,190203,145963,149116,181480,98801,238459,196872,152536,157497,201245,140990,113348,49483,33850,35750,52192,36002,115209,58827,44269,47277,64081,49230,534,652,397,235,252,268,499,633,563,401,287,250,3454557,.0719603,.032811198,.0001546,.069027402,.033349901,.00014439999,.055058599,.014324,.0001887,.0569891,.017028799,.0001832,.042252298,.0097987,.0001149,.044155002,.0128147,.000163,.043164998,.0103486,.000068000001,.045591101,.0136854,.0001161,.0525335,.0151082,.000072900002,.058254901,.018549699,.0000831,.028600199,.0104216,.000077600002,.040812802,.0142507,.000072399998,,,,,,,,11.694697,18.439411,214.58612,50.107727,222.7782,774.02112,1180.4408,2.4591355,2.9144902,5.368711,3.9141753,5.4061766,6.6515989,7.0736432,,,2.6953621,2.4542,4.2306919,6.6619411,,,18.439411,2.9144902,294.82797,2177.24,5.6863918,7.6858134,,,,,,,,,,,0
1,Alabama,1971,10835,76084,524,661,7645,2005,7696,27547,40841,882.88751,14.06223,4.6874099,50708,68.97036,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,908447,.20219849,,,,82.443268,,,,,,.2072296,.148239,.1085679,.1112923,.1444879,.096522897,,,,,,,,,,,,,,,,,,,252903,198087,147384,149361,184230,102019,242128,203300,153454,157413,204638,147161,113519,53042,33874,35037,51762,36944,114945,62559,43857,46649,64067,50904,653,720,471,294,290,273,606,736,660,474,338,273,3497349,.072312802,.0324586,.0001867,.069231898,.032866299,.0001733,.056639198,.0151663,.0002059,.058129702,.017887499,.0002104,.042141601,.0096856002,.00013470001,.043877199,.0125401,.0001887,.042706899,.0100182,.0000841,.0450092,.0133384,.0001355,.052677002,.0148004,.000082899998,.0585123,.0183187,.000096600001,.0291704,.0105634,.000078099998,.042077899,.014555,.000078099998,2.459136,2.91449,5.368711,3.914175,5.406177,6.6515989,7.0736432,14.982777,18.90003,218.59415,57.329136,220.05238,787.65375,1167.7703,2.7069013,2.9391634,5.3872166,4.0488091,5.3938656,6.6690588,7.0628514,,,2.988333,2.7475479,4.4121103,6.7831979,,,18.90003,2.9391634,309.80609,2175.4763,5.7359467,7.6850028,11.694697,18.439411,214.58612,50.107727,222.7782,774.02112,1180.4408,,,,0
1,Alabama,1972,10994,73053,496,660,7431,2407,6846,27714,38493,1004.436,15.40458,5.13486,50708,69.811531,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,,1,915527,.20265549,,,,94.994911,,,5987,169.12415,,.2065935,.15236829,.1090716,.1093888,.1449012,.098691501,,,,,,,,,,,,,,,,,,,255722,205920,150560,149124,187572,105152,244750,208950,155898,156686,208743,153258,114188,56571,34420,34455,51569,37866,115188,66305,43933,46070,64322,52514,771,796,555,357,336,273,722,842,748,545,409,305,3540003,.072237797,.032256499,.0002178,.0691384,.032538999,.000204,.058169398,.015980501,.0002249,.059025399,.018730201,.00023790001,.042530999,.0097232005,.0001568,.044038899,.0124104,.00021129999,.0421254,.0097329998,.0001008,.0442615,.0130141,.00015399999,.052986398,.0145675,.000094900002,.058966901,.018169999,.0001155,.0297039,.0106966,.000077099998,.0432932,.0148345,.000086200002,2.7069011,2.939163,5.387217,4.0488091,5.3938661,6.6690588,7.062851,14.011288,18.644053,209.91507,67.994293,193.38966,782.88068,1087.3719,2.6398633,2.9255271,5.3467031,4.2194238,5.2647071,6.6629801,6.991519,,4.7004805,3.0497458,2.8131449,4.5538235,6.9121814,,,18.644053,2.9255271,310.5647,2063.6423,5.7383924,7.6322279,14.982777,18.90003,218.59415,57.329136,220.05238,787.65375,1167.7703,,,,0
1,Alabama,1973,12390,78999,468,751,8362,2809,8039,31754,39206,1184.891,17.14617,3.60972,50708,70.615265,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,,1,923924,.2035521,,,,120.324,,,5032,140.52887,169.1241,.20563491,.1550106,.1112567,.10795251,.1451378,.1008767,,,,,,,,,,,,,,,,,,,257734,210245,156433,149210,190294,108334,246546,212820,161172,156396,212300,159349,114826,59877,35053,34105,51445,38779,115500,70289,44246,45818,64816,54117,890,862,633,409,378,283,833,963,846,614,470,353,3580759,.071977504,.0320675,.0002486,.068852998,.032255702,.0002326,.058715198,.016721901,.0002407,.059434298,.0196296,.00026890001,.043687101,.0097893002,.00017679999,.0450106,.0123566,.00023629999,.041669901,.0095245,.0001142,.043676801,.0127956,.0001715,.053143501,.0143671,.0001056,.059289102,.0181012,.0001313,.0302545,.0108298,.000078999998,.044501498,.0151133,.000098600001,2.639863,2.9255271,5.3467031,4.2194238,5.2647071,6.6629801,6.991519,13.069855,20.973207,233.52591,78.447052,224.50548,886.79523,1094.9076,2.5703084,3.0432458,5.4532928,4.3624239,5.4138999,6.7876139,6.9984255,5.1306329,4.6395717,3.0753896,2.7643549,4.7901883,7.0774059,,,20.973207,3.0432458,346.01602,2206.2083,5.8464851,7.6990304,14.011288,18.644053,209.91507,67.994293,193.38966,782.88068,1087.3719,,,,0
1,Alabama,1974,13338,93976,536,811,8429,3562,9322,37841,46813,1437.834,26.22089,6.3062901,50708,71.542519,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5,,1,930883,.2037992,,,,151.351,,,5290,145.81929,140.5289,.20429289,.1592457,.1128157,.1063243,.14480659,.1030797,,,,,,,,,,,,,,,,,,,260148,217864,161394,149240,192994,111860,248554,219666,165933,156132,215653,165872,115105,63436,35664,33670,50901,39612,115380,74667,44600,45527,64847,55929,1008,975,733,468,412,295,934,1100,946,684,519,382,3627778,.071709998,.0317288,.00027789999,.068514101,.031804599,.00025750001,.060054399,.0174862,.00026880001,.060551099,.020582,.00030320001,.0444884,.0098307999,.0002021,.045739599,.012294,.00026080001,.041138101,.0092812004,.00012899999,.043037899,.0125496,.00018849999,.053199001,.0140309,.0001136,.059444901,.0178751,.0001431,.0308343,.0109191,.000081300001,.045722801,.0154169,.0001053,2.570308,3.043246,5.4532928,4.3624239,5.4138999,6.7876139,6.998425,14.774884,22.355282,232.34608,98.186821,256.9617,1043.0903,1290.4042,2.6929288,3.1070626,5.4482279,4.5868721,5.5489268,6.9499431,7.1627107,4.9454131,4.6491871,3.2011738,2.9326901,5.0196018,7.2708931,,,22.355282,3.1070626,367.66309,2590.4563,5.907167,7.8595891,13.069855,20.973207,233.52591,78.447052,224.50548,886.79523,1094.9076,,,,0
1,Alabama,1975,14201,111296,577,738,8440,4446,9767,42059,59470,1713.256,33.078602,22.292101,50708,72.582138,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.3,,1,942921,.20453361,,,,198.4716,,,5507,149.62662,145.81931,.2020027,.1639075,.1141722,.1048667,.1441327,.1048786,,,,,,,,,,,,,,,,,,,260804,225964,166004,149637,195370,115219,249219,227342,170239,156244,218818,172225,115682,67726,36641,33358,50417,40300,115572,79854,45432,45424,64844,57535,1149,1110,826,530,441,295,1044,1265,1068,768,590,431,3680495,.070861101,.031431101,.00031219999,.067713402,.031401198,.00028370001,.061395001,.018401301,.0003016,.0617694,.0216965,.0003437,.045103699,.0099555003,.00022440001,.0462544,.012344,.0002902,.040656801,.0090635,.00014400001,.042451899,.0123418,.0002087,.0530825,.0136984,.0001198,.059453402,.0176183,.0001603,.031305298,.0109496,.0000802,.046794001,.0156324,.0001171,2.692929,3.1070631,5.4482279,4.5868721,5.5489268,6.9499431,7.1627111,15.677239,20.051651,229.31699,120.79897,265.37192,1142.7539,1615.8153,2.7522099,2.9983115,5.4351053,4.7941279,5.5811324,7.0411963,7.3875952,4.982368,4.7032042,3.2675574,3.1917989,5.2906461,7.4461508,,,20.051651,2.9983115,385.84485,3023.9412,5.9554353,8.0143166,14.774884,22.355282,232.34608,98.186821,256.9617,1043.0903,1290.4042,,,,0
1,Alabama,1976,14248,125325,553,794,9381,3520,9614,42879,72832,2015.798,37.56852,21.63036,50708,73.697205,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,6.4000001,1,955632,.2047748,,,,229.2059,,,5500,147.17538,149.6266,.1990241,.1688201,.1154806,.1036591,.1443565,.105814,,,,,,,,,,,,,,,,,,,261034,235304,170446,150619,199068,118166,249366,236507,174255,157052,223438,177435,115398,71799,37948,33196,50349,40766,115548,84610,46779,45078,65485,58295,1259,1223,933,591,478,297,1156,1444,1194,842,648,472,3737038,.069850497,.030879499,.0003369,.066728197,.030919701,.0003093,.062965401,.019212799,.00032729999,.063287303,.022640901,.0003864,.045609899,.0101546,.00024970001,.046629202,.0125177,.00031949999,.0403044,.0088830004,.0001581,.042025801,.0120625,.0002253,.053268898,.013473,.0001279,.059790101,.017523199,.0001734,.031620201,.0109086,.000079500001,.047480099,.0155993,.0001263,2.7522099,2.998312,5.4351048,4.7941279,5.5811319,7.0411959,7.3875952,14.797816,21.246773,251.02768,94.192245,257.26257,1147.406,1948.9232,2.6944797,3.056205,5.5255632,4.5453377,5.5500975,7.045259,7.5750322,5.0081429,4.7957907,3.2651532,3.6398237,5.4346209,7.6087704,,,21.246773,3.056205,381.26453,3353.5918,5.9434934,8.1177874,15.677239,20.051651,229.31699,120.79897,265.37192,1142.7539,1615.8153,,,,0
1,Alabama,1977,15293,121702,524,929,10268,3572,10359,41901,69442,2340.8931,40.813091,18.58814,50708,74.595154,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6.8000002,1,964828,.2044687,5547,146.64629,,260.23389,-.1276807,17.65,7530,199.07095,147.1754,.1942986,.16956291,.1210693,.1026265,.1439418,.1077311,,,44.889999,17.059999,,,,,,,,92.019997,40.73,40.110001,44.48,14.33,19.809999,9.6899996,258450,237600,181712,151338,201482,121814,246615,237823,184912,157546,226390,183744,113393,74912,40001,33024,49830,41451,113881,88081,48907,44722,65538,59677,1351,1360,1069,651,517,308,1258,1608,1352,911,713,507,3782571,.068326503,.0299778,.00035720001,.065197699,.0301068,.0003326,.0628144,.0198045,.0003595,.062873401,.023286,.00042510001,.048039299,.0105751,.0002826,.048885301,.0129296,.00035739999,.040009301,.0087305997,.0001721,.0416505,.0118232,.0002408,.053265899,.0131736,.00013669999,.059850801,.017326299,.00018849999,.032203998,.0109584,.000081400001,.0485765,.0157768,.000134,2.6944799,3.056205,5.5255628,4.5453382,5.550097,7.045259,7.5750322,13.853012,24.560015,271.45557,94.433128,273.86136,1107.7386,1835.8413,2.6285026,3.2011197,5.6037984,4.5478921,5.6126218,7.010076,7.5152583,4.9916253,4.4188404,3.5006015,4.1914711,5.5615807,7.7582879,,,24.560015,3.2011197,404.30173,3217.4412,6.0021615,8.0763416,14.797816,21.246773,251.02768,94.192245,257.26257,1147.406,1948.9232,,,,0
1,Alabama,1978,15682,131707,499,954,10521,3708,11319,46001,74387,2794.2529,44.545441,15.56928,50708,75.608803,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,5.9000001,1,974945,.20391349,5625,146.71472,146.6463,307.49329,-.1276807,18.275,6038,157.48685,199.071,.18943191,.1710801,.1250499,.1019634,.1437244,.1094698,,,43.09,16.120001,,,,,,,,94.290001,39.560001,36.029999,43.490002,13.15,18.75,10.84,255919,241524,190213,152665,204665,125687,243812,242020,193187,158962,230049,190054,111452,77655,42136,32981,49391,42033,112284,91427,51161,44607,65597,61074,1455,1499,1214,714,552,318,1354,1791,1527,996,781,538,3833971,.0667504,.029069601,.00037950001,.063592598,.029286601,.00035320001,.062995799,.0202545,.00039100001,.063125104,.0238466,.00046710001,.0496125,.0109902,.0003166,.050388198,.0133441,.00039830001,.039818998,.0086022997,.00018620001,.041461401,.0116347,.0002598,.053382002,.0128825,.00014400001,.0600028,.0171094,.00020369999,.032782499,.0109633,.000082899998,.049571101,.015929701,.00014030001,2.6285031,3.2011199,5.6037979,4.5478921,5.6126218,7.010076,7.5152578,13.015226,24.882818,274.41522,96.714348,295.22916,1199.8265,1940.2076,2.5661199,3.2141776,5.6146421,4.5717616,5.6877518,7.0899324,7.5705504,5.2936616,4.5432949,3.6391175,4.1210489,5.7284532,7.9353199,44.889999,17.059999,24.882818,3.2141776,409.02762,3435.2634,6.0137825,8.1418486,13.853012,24.560015,271.45557,94.433128,273.86136,1107.7386,1835.8413,,,,0
1,Alabama,1979,15578,144372,496,1037,9918,4127,12064,48517,83791,3358.6011,62.58847,19.76478,50708,76.306305,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,6.8000002,1,981773,.2035321,5464,141.21271,146.71471,379.76611,-.1276807,18.9,6344,163.95561,157.4868,.18460269,.1724468,.12877381,.1014925,.1432671,.1117483,,,56.849998,13.9,,,,,,,,91.959999,37.43,34.009998,66.730003,11.69,15.9,8.8699999,252372,245106,197367,153786,206476,129536,239904,244511,199930,160058,232179,196641,109016,80054,44373,32785,48788,42746,110026,93997,53511,44227,65455,62557,1535,1630,1371,778,596,325,1438,1957,1718,1075,855,587,3869340,.0652235,.0281743,.00039669999,.062001299,.028435299,.00037160001,.063345701,.020689299,.00042130001,.063191898,.024292801,.00050580001,.0510079,.0114678,.00035429999,.051670302,.0138295,.000444,.039744802,.0084729996,.0002011,.041365702,.0114301,.00027779999,.053362101,.0126089,.00015399999,.060004801,.016916299,.00022099999,.0334775,.0110474,.000083999999,.050820298,.0161674,.00015170001,2.5661199,3.2141781,5.6146421,4.5717621,5.6877518,7.089932,7.57055,12.818724,26.800436,256.32278,106.65902,311.78442,1253.8831,2165.5115,2.5509069,3.2884181,5.5464377,4.6696372,5.742312,7.1340003,7.6804118,5.0593414,4.9698133,4.0420227,3.5528123,5.9395556,8.1192799,43.09,16.120001,26.800436,3.2884181,402.60095,3731.179,5.9979458,8.2244797,13.015226,24.882818,274.41522,96.714348,295.22916,1199.8265,1940.2076,,,,0
1,Alabama,1980,17320,173191,509,1158,10551,5102,12210,58952,102029,4080.832,82.804024,32.809139,50767,76.815079,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,8.3999996,1,995823,.20479681,6543,167.78339,141.21271,479.6384,-.1276807,21.200001,6531,167.47566,163.9556,.180444,.17437391,.1321224,.1007082,.1428002,.113437,,,44.470001,12.95,,,,,,,,94.040001,44.099998,31.24,48.549999,10.96,14.75,7.5500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899671,.063725099,.027585899,.0004247,.060479201,.0278321,.000397,.063861802,.021316901,.0004593,.063270502,.0249159,.00054949999,.051854599,.0122964,.0004016,.052446499,.014623,.00050030003,.0393961,.0085052997,.00021899999,.0409909,.0113007,.00029620001,.0532948,.0124159,.0001623,.059904501,.0167873,.0002354,.034090299,.0109912,.000083600004,.051892601,.0162262,.0001531,2.5509069,3.2884181,5.5464382,4.6696372,5.742312,7.1339998,7.6804118,13.052383,29.694813,270.56128,130.83154,313.10333,1511.7173,2616.3489,2.5689707,3.3909724,5.6004987,4.8739104,5.7465334,7.3210015,7.869535,5.0995955,4.94876,4.4595604,3.5220406,6.1730323,8.3140564,56.849998,13.9,29.694813,3.3909724,444.14005,4441.1694,6.0961399,8.3986731,12.818724,26.800436,256.32278,106.65902,311.78442,1253.8831,2165.5115,2684,68.826317,4.231586,0
1,Alabama,1981,18423,173411,465,1021,11985,4952,11129,56811,105471,4922.1621,96.991203,31.195999,50767,77.186363,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,9.6999998,1,999972,.20587321,7657,195.40541,167.7834,596.6944,-.15496591,24.1,6529,166.61903,167.47569,.1769862,.17651699,.13509549,.10098431,.1424417,.1149343,,,62.459999,14.24,,,,,,,,99.120003,41.330002,34.029999,74.699997,11.59,16.370001,7.5300002,2025653,2262947,1986120,1527565,1896262,1326454,1924791,2222453,1996505,1572265,2108079,2041870,916747,744117,537897,341375,416102,376698,920199,872445,653298,429857,569904,588914,24488,25449,21813,14432,9725,4184,22966,25335,27637,17624,13275,6499,3918520,.062195402,.0272856,.0004897,.059082501,.027479799,.00045319999,.064711899,.0215375,.00051749998,.063977197,.0251814,.00059150002,.0526696,.0128459,.00044910001,.053210899,.0153545,.0005655,.0393993,.0086922999,.00025829999,.040892702,.0114056,.0003361,.053306099,.0122605,.000185,.059806999,.0166167,.00026639999,.0345743,.0109095,.0000898,.052894998,.016303901,.0001618,2.5689709,3.3909719,5.6004992,4.87391,5.7465329,7.321002,7.869535,11.866725,26.055756,305.85529,126.37424,284.01028,1449.8076,2691.603,2.4737382,3.2602386,5.7231121,4.8392477,5.6490107,7.2791862,7.897892,5.1208382,5.0039463,4.6747036,3.7819982,6.3914051,8.501503,44.470001,12.95,26.055756,3.2602386,470.15201,4425.4209,6.1530561,8.3951206,13.052383,29.694813,270.56128,130.83154,313.10333,1511.7173,2616.3489,2751,70.205078,4.2514205,0
